airportCode,airportName,cityName,countryName,countryCode,
ETSI,Manching,Ingolstadt,Germany,DEU,
EDWE,Emden,Emden,Germany,DEU,
MYLS,Stella Maris,Long I,Bahamas,BHS,
ROAH,Naha,Naha,Japan,JPN,
EDDG,Munster/Osnabruck,Munster/Osnabruck,Germany,DEU,
EDVE,Braunschweig-Wolfsburg,Braunschweig-Wolfsburg,Germany,DEU,
UWUU,Ufa,Ufa,Russia,RUS,
EDDF,Frankfurt/Main,Frankfurt/Main,Germany,DEU,
EDTO,Offenburg,Offenburg,Germany,DEU,
EDTF,Freiburg i. Br.,Freiburg i. Br.,Germany,DEU,
EDRZ,Zweibrucken,Zweibrucken,Germany,DEU,
KJAX,Jacksonville Intl,Jacksonville,USA,USA,
NZCH,Christchurch Intl,Christchurch,New Zealand,NZL,
BIAR,Akureyri,Akureyri,Iceland,ISL,
ENCN,Kjevik,Kristiansand,Norway,NOR,
EDQM,Hof-Plauen,Hof-Plauen,Germany,DEU,
ULLI,Pulkovo,St Petersburg,Russia,RUS,
WPDL,Pres Nicolau Lobato Intl,Dili,Timor-Leste,TLS,
ZYHB,Taiping,Harbin,China,CHN,
EDHI,Finkenwerder,Hamburg,Germany,DEU,
ORNI,Al-Ashraf Intl,Al Najaf,Iraq,IRQ,
FANS,Nelspruit,Nelspruit,South African Rep,ZAF,
OPKC,Jinnah Intl,Karachi,Pakistan,PAK,
GVAC,Amilcar Cabral,Sal,Cape Verde,CPV,
LEAL,Alicante-Elche,Alicante,Spain,ESP,
MDCY,El Catey Intl,Samana,Dom Rep,DOM,
KLRD,Laredo Intl,Laredo,USA,USA,
EDFH,Frankfurt-Hahn,Frankfurt-Hahn,Germany,DEU,
LRBS,Baneasa-Aurel Vlaicu,Bucharest,Romania,ROU,
SPTN,Col Carlos Ciriani Santa Rosa,Tacna,Peru,PER,
YPDN,Darwin Intl,Darwin,Australia,AUS,
EDDV,Hannover,Hannover,Germany,DEU,
KTUL,Tulsa Intl,Tulsa,USA,USA,
UAOO,Kyzylorda,Kyzylorda,Kazakhstan,KAZ,
EDDT,Tegel,Berlin,Germany,DEU,
TGPZ,Lauriston,Carriacou Is,Grenada,GRD,
CYYC,Calgary Intl,Calgary,Canada,CAN,
VGHS,Hazrat Shahjalal Intl,Dhaka,Bangladesh,BGD,
EDTY,Schwabisch Hall,Schwabisch Hall,Germany,DEU,
EDXW,Sylt,Sylt,Germany,DEU,
RPLB,Subic Bay Intl,Subic Bay,Philippines,PHL,
EDDS,Stuttgart,Stuttgart,Germany,DEU,
KSBA,Santa Barbara Mun,Santa Barbara,USA,USA,
EDNY,Friedrichshafen,Friedrichshafen,Germany,DEU,
VOBL,Kempegowda Intl,Bengaluru,India,IND,
EDLN,Monchengladbach,Monchengladbach,Germany,DEU,
EDDR,Saarbrucken,Saarbrucken,Germany,DEU,
OPGD,Gwadar Intl,Gwadar,Pakistan,PAK,
HKEL,Eldoret Intl,Eldoret,Kenya,KEN,
UKHH,Osnova,Kharkiv,Ukraine,UKR,
FMCH,Prince Said Ibrahim,Moroni,Comoros,COM,
FZWA,Mbuji-Mayi,Mbuji-Mayi,Congo, Dr Of,
EDDP,Leipzig-Halle,Leipzig-Halle,Germany,DEU,
VTBS,Suvarnabhumi Intl,Bangkok,Thailand,THA,
EGNT,Newcastle,Newcastle,UK,GBR,
EDLW,Dortmund,Dortmund,Germany,DEU,
LIPQ,Ronchi Dei Legionari,Trieste,Italy,ITA,
KSBN,South Bend Intl,South Bend,USA,USA,
EDGS,Siegerland,Siegerland,Germany,DEU,
EDLI,Bielefeld,Bielefeld,Germany,DEU,
EDOP,Schwerin-Parchim,Schwerin-Parchim,Germany,DEU,
CYQM,Greater Moncton Intl,Moncton,Canada,CAN,
SPQU,Rodriguez Ballon,Arequipa,Peru,PER,
YMML,Melbourne Intl,Melbourne,Australia,AUS,
EDDE,Erfurt-Weimar,Erfurt-Weimar,Germany,DEU,
EKYT,Aalborg,Aalborg,Denmark,DNK,
EHAM,Schiphol,Amsterdam,Netherlands,NLD,
EDDC,Dresden,Dresden,Germany,DEU,
FYWB,Walvis Bay,Walvis Bay,Namibia,NAM,
LWOH,St Paul the Apostle,Ohrid,Macedonia, F Y R,
RJOA,Hiroshima,Hiroshima,Japan,JPN,
EDCD,Cottbus-Drewitz,Cottbus-Drewitz,Germany,DEU,
SBPA,Salgado Filho Intl,Porto Alegre,Brazil,BRA,
EDBH,Barth,Barth,Germany,DEU,
LIEO,Costa Smeralda,Olbia,Italy,ITA,
FLKK,Kenneth Kaunda Intl,Lusaka,Zambia,ZMB,
TUPJ,Terrance B Lettsome Intl,Roadtown,British Virgin Is,VGB,
ORBI,Baghdad Intl,Baghdad,Iraq,IRQ,
FBFT,Francistown,Francistown,Botswana,BWA,
WIII,Soekarno-Hatta Intl,Jakarta,Indonesia,IDN,
FKKL,Maroua-Salak,Maroua-Salak,Cameroon,CMR,
BGUK,Upernavik,Upernavik,Greenland,GRL,
KBFL,Meadows,Bakersfield,USA,USA,
LTFC,Suleyman Demirel,Isparta,Turkey,TUR,
EGNJ,Humberside,Humberside,UK,GBR,
HESN,Aswan Intl,Aswan,Egypt,EGY,
DFOO,Bobo-Dioulasso,Bobo-Dioulasso,Burkina Faso,BFA,
FMEE,Roland Garros,La Reunion,Reunion,REU,
HELX,Luxor Intl,Luxor,Egypt,EGY,
LEPA,Palma De Mallorca,Palma De Mallorca,Spain,ESP,
OSDI,Damascus Intl,Damascus,Syria,SYR,
SKPI,Contador,Pitalito,Colombia,COL,
EDTZ,Konstanz,Konstanz,Germany,DEU,
LKTB,Turany,Brno,Czech,CZE,
FVFA,Victoria Falls,Victoria Falls,Zimbabwe,ZWE,
EBOS,Ostend,Ostend-Brugge,Belgium,BEL,
ENTC,Langnes,Tromso,Norway,NOR,
MRLB,Daniel Oduber Quiros Intl,Liberia,Costa Rica,CRI,
URKA,Vityazevo,Anapa,Russia,RUS,
LCPH,Pafos Intl,Pafos,Cyprus,CYP,
LCLK,Larnaca Intl,Larnaca,Cyprus,CYP,
LOWZ,Zell Am See,Zell Am See,Austria,AUT,
OMAD,Al Bateen Executive,Abu Dhabi,UAE,ARE,
LICJ,Punta Raisi,Palermo,Italy,ITA,
KSUS,Spirit Of St Louis,St Louis,USA,USA,
KMFE,Mc Allen Miller Intl,Mc Allen,USA,USA,
ZUCK,Jiangbei,Chongqing,China,CHN,
ZSJN,Yaoqiang,Jinan,China,CHN,
PGUA,Andersen AFB,Guam I,Guam,GUM,
MGGT,La Aurora Intl,Guatemala City,Guatemala,GTM,
SAEZ,Ezeiza Intl Ministro Pistarini,Buenos Aires,Argentina,ARG,
TKPN,Vance Winkworth Amory Intl,Nevis I.,Nevis Is,XJR,
MUCL,Vilo Acuna Intl,Cayo Largo Del Sur,Cuba,CUB,
LSGC,Les Eplatures,Les Eplatures,Switzerland,CHE,
EDXF,Schaferhaus,Flensburg,Germany,DEU,
FCBB,Maya-Maya,Brazzaville,Congo, Rep Of,
UUWW,Vnukovo,Moscow,Russia,RUS,
SBSL,Marechal Cunha Machado Intl,Sao Luis,Brazil,BRA,
ZUUU,Shuangliu,Chengdu,China,CHN,
VOCL,Calicut,Calicut,India,IND,
SBFI,Cataratas Intl,Foz Do Iguacu,Brazil,BRA,
WMKJ,Senai Intl,Johor Bahru,Malaysia,MYS,
FMNA,Arrachart,Antsiranana,Madagascar,MDG,
LFPN,Toussus-Le-Noble,Toussus-Le-Noble,France,FRA,
LFBZ,Bayonne-Anglet,Biarritz,France,FRA,
MUVR,Juan G. Gomez Intl,Varadero,Cuba,CUB,
MBPV,Providenciales Intl,Providenciales I.,Caicos Is,XJL,
EFTP,Pirkkala,Tampere,Finland,FIN,
KCLE,Cleveland-Hopkins Intl,Cleveland,USA,USA,
LEXJ,Seve Ballesteros-Santander,Santander,Spain,ESP,
KGRB,Austin Straubel Intl,Green Bay,USA,USA,
ZWWW,Diwopu,Urumqi,China,CHN,
FVHA,Harare Intl,Harare,Zimbabwe,ZWE,
MUCM,Ignacio Agramonte Intl,Camaguey,Cuba,CUB,
HEAR,El Arish Intl,El Arish,Egypt,EGY,
FBSP,Selebi-Phikwe,Selebi-Phikwe,Botswana,BWA,
SKSM,Simon Bolivar Intl,Santa Marta,Colombia,COL,
RJSN,Niigata,Niigata,Japan,JPN,
LQBK,Banja Luka,Banja Luka,Bosnia-Herzegovina,BIH,
LOWW,Schwechat,Vienna,Austria,AUT,
MUCC,Jardines del Rey Intl,Cayo Coco,Cuba,CUB,
SAZM,Astor Piazzolla,Mar Del Plata,Argentina,ARG,
MRPV,Tobias Bolanos Intl,San Jose,Costa Rica,CRI,
RJFU,Nagasaki,Nagasaki,Japan,JPN,
KEWR,Newark Liberty Intl,Newark,USA,USA,
SKCL,Alfonso Bonilla Aragon Intl,Cali,Colombia,COL,
UBBG,Ganja,Ganja,Azerbaijan,AZE,
SKRG,Jose Maria Cordova,Rionegro,Colombia,COL,
MRLM,Limon Intl,Puerto Limon,Costa Rica,CRI,
SKCG,Rafael Nunez,Cartagena,Colombia,COL,
MUHG,Frank Pais Intl,Holguin,Cuba,CUB,
MMSF,San Felipe Intl,San Felipe,Mexico,MEX,
WIPP,Sultan M Badaruddin II,Palembang,Indonesia,IDN,
TBPB,Grantley Adams Intl,Bridgetown,Barbados,BRB,
EDRT,Fohren,Trier,Germany,DEU,
OLBA,Rafic Hariri Intl,Beirut,Lebanon,LBN,
SBNT,Augusto Severo,Natal,Brazil,BRA,
KIAH,George Bush Intercontinental/Houston,Houston,USA,USA,
KHPN,Westchester Co,White Plains,USA,USA,
SBTT,Tabatinga Intl,Tabatinga,Brazil,BRA,
EDME,Eggenfelden,Eggenfelden,Germany,DEU,
HCMK,Kisimayu,Kisimayu,Somalia,SOM,
VEGY,Gaya,Gaya,India,IND,
FKYS,Nsimalen,Yaounde,Cameroon,CMR,
LFSN,Essey,Nancy,France,FRA,
ZUXC,Qingshan,Xichang,China,CHN,
NSFA,Faleolo Intl,Apia,W Samoa,WSM,
SBCZ,Cruzeiro Do Sul-Intl,Cruzeiro Do Sul,Brazil,BRA,
FMNN,Fascene,Nosy-Be,Madagascar,MDG,
MROC,Juan Santamaria Intl,San Jose,Costa Rica,CRI,
FKKR,Garoua,Garoua,Cameroon,CMR,
ORMM,Basrah Intl,Basrah,Iraq,IRQ,
TVSB,J.F. Mitchell,Bequia,St Vincent,VCT,
HECA,Cairo Intl,Cairo,Egypt,EGY,
ZSFZ,Changle,Fuzhou,China,CHN,
FKKD,Douala,Douala,Cameroon,CMR,
EDFM,Mannheim City,Mannheim,Germany,DEU,
EFMA,Mariehamn,Mariehamn,Finland,FIN,
MMCT,Chichen-Itza Intl,Chichen-Itza,Mexico,MEX,
BIEG,Egilsstadir,Egilsstadir,Iceland,ISL,
SKBO,Eldorado Intl,Bogota,Colombia,COL,
SBKP,Viracopos Intl,Campinas,Brazil,BRA,
ZYTL,Zhoushuizi,Dalian,China,CHN,
EDBM,Magdeburg/City,Magdeburg/City,Germany,DEU,
EDFV,Worms,Worms,Germany,DEU,
MPCH,Cap. Manuel Nino,Changuinola,Panama,PAN,
PTKK,Chuuk Intl,Weno I,Micronesia,FSM,
ZBTJ,Binhai,Tianjin,China,CHN,
ZSQD,Liuting,Qingdao,China,CHN,
ZSPD,Pudong,Shanghai,China,CHN,
VVPB,Phu Bai Intl,HUE,Vietnam,VNM,
HLLS,Sebha,Sebha,Libyan Arab Jamahiriya,LBY,
LIPZ,Tessera,Venice,Italy,ITA,
HESH,Sharm El Sheikh Intl,Sharm El Sheikh,Egypt,EGY,
EDAH,Heringsdorf,Heringsdorf,Germany,DEU,
LQSA,Sarajevo,Sarajevo,Bosnia-Herzegovina,BIH,
SKCC,Camilo Daza Intl,Cucuta,Colombia,COL,
LTCI,Ferit Melen,Van,Turkey,TUR,
LGMK,Mikonos,Mikonos,Greece,GRC,
EDMS,Straubing,Straubing,Germany,DEU,
MMVR,Gen Heriberto Jara Intl,Veracruz,Mexico,MEX,
LFSB,Basle-Mulhouse,Basle-Mulhouse,France,FRA,
KMLI,Quad-City Intl.,Moline,USA,USA,
DIBK,Bouake,Bouake,Ivory Coast,CIV,
LRIA,Iasi,Iasi,Romania,ROU,
LFMD,Mandelieu,Cannes,France,FRA,
KSMF,Sacramento Intl,Sacramento,USA,USA,
DAUB,Mohamed Khider,Biskra,Algeria,DZA,
UMII,Viciebsk,Viciebsk,Belarus,BLR,
MDLR,Casa De Campo Intl,La Romana,Dom Rep,DOM,
EGNV,Durham Tees Valley,Durham Tees Valley,UK,GBR,
SAME,El Plumerillo,Mendoza,Argentina,ARG,
OMRK,Ras Al Khaimah Intl,Ras Al Khaimah,UAE,ARE,
SAVC,Gen Enrique Mosconi,Comodoro Rivadavia,Argentina,ARG,
MMCV,Gen Pedro Jose Mendez Intl,Ciudad Victoria,Mexico,MEX,
PGUM,Guam Intl,Guam,Guam,GUM,
ZJSY,Phoenix Intl,Sanya,China,CHN,
EDMO,Oberpfaffenhofen,Oberpfaffenhofen,Germany,DEU,
LIPH,S.Angelo,Treviso,Italy,ITA,
HAAB,Bole Intl,Addis Abeba,Ethiopia,ETH,
YSNF,Norfolk Island,Norfolk I,Australia,AUS,
RJBB,Kansai Intl,Osaka,Japan,JPN,
ZGKL,Liangjiang,Guilin,China,CHN,
LTAJ,Gaziantep,Gaziantep,Turkey,TUR,
MHTG,Toncontin Intl,Tegucigalpa,Honduras,HND,
DAUH,Oued Irara-Krim Belkacem,Hassi Messaoud,Algeria,DZA,
LKPR,Ruzyne,Prague,Czech,CZE,
EGFF,Cardiff,Cardiff,UK,GBR,
EDLS,Vreden,Stadtlohn,Germany,DEU,
OMSJ,Sharjah Intl,Sharjah,UAE,ARE,
DAAJ,Tiska,Djanet,Algeria,DZA,
UGKO,Kopitnari,Kutaisi,Georgia,GEO,
LQTZ,Tuzla,Tuzla,Bosnia-Herzegovina,BIH,
KPHL,Philadelphia Intl,Philadelphia,USA,USA,
UWLW,Vostochny,Ulyanovsk,Russia,RUS,
VDSR,Siem Reap Intl,Siem Reap,Cambodia,KHM,
YPTN,Tindal (Military),Tindal,Australia,AUS,
LOWI,Innsbruck,Innsbruck,Austria,AUT,
ZBYN,Wusu,Taiyuan,China,CHN,
NFTF,Fua'Amotu Intl,Nuku'Alofa,Tonga,TON,
MGPB,Puerto Barrios,Puerto Barrios,Guatemala,GTM,
EDAC,Leipzig-Altenburg,Leipzig-Altenburg,Germany,DEU,
DNKN,Mallam Aminu Kano,Kano,Nigeria,NGA,
ZBHH,Baita,Hohhot,China,CHN,
MMMZ,Gen Rafael Buelna Intl,Mazatlan,Mexico,MEX,
LILY,Como,Como,Italy,ITA,
ZBAA,Beijing Capital,Beijing,China,CHN,
WBSB,Brunei Intl,Bandar Seri Begawan,Brunei,BRN,
PHKO,Kona Intl At Keahole,Kailua-Kona,USA,USA,
SCTE,El Tepual Intl,Puerto Montt,Chile,CHL,
SCFA,Cerro Moreno Intl,Antofagasta,Chile,CHL,
SCDA,Diego Aracena Intl,Iquique,Chile,CHL,
HRYR,Kigali Intl,Kigali,Rwanda,RWA,
UUOK,Vostochny,Kursk,Russia,RUS,
MPMG,Marcos A Gelabert Intl,Panama City,Panama,PAN,
DNPO,Port Harcourt,Port Harcourt,Nigeria,NGA,
SCCI,Carlos Ibanez Del Campo Intl,Punta Arenas,Chile,CHL,
LSZS,Samedan,Samedan,Switzerland,CHE,
YBRK,Rockhampton,Rockhampton,Australia,AUS,
LGMT,Odysseas Elytis,Mitilini,Greece,GRC,
LKKV,Karlovy Vary,Karlovy Vary,Czech,CZE,
HHSB,Assab Intl,Assab,Eritrea,ERI,
MKJP,Norman Manley Intl,Kingston,Jamaica,JAM,
LSZH,Zurich,Zurich,Switzerland,CHE,
OIMM,Shahid Hashemi Nejad Intl,Mashhad,Iran,IRN,
GMMW,El Aroui Intl,Nador,Morocco,MAR,
YMHB,Hobart,Hobart,Australia,AUS,
KDCA,Ronald Reagan Washington Natl,Washington,USA,USA,
ORSU,Sulaymaniyah Intl,Sulaymaniyah,Iraq,IRQ,
CYYZ,Lester B Pearson Intl,Toronto,Canada,CAN,
LOWS,Salzburg,Salzburg,Austria,AUT,
ESNS,Skelleftea,Skelleftea,Sweden,SWE,
ZSOF,Xinqiao,Hefei,China,CHN,
UTNU,Urgench,Urgench,Uzbekistan,UZB,
LOWK,Klagenfurt,Klagenfurt,Austria,AUT,
ESGJ,Jonkoping,Jonkoping,Sweden,SWE,
MDJB,El Higuero Intl,Santo Domingo/El Higuero,Dom Rep,DOM,
EIKN,Knock,Ireland West,Ireland,IRL,
SAZS,S C De Bariloche,S C De Bariloche,Argentina,ARG,
KSTC,St Cloud Regl,St Cloud,USA,USA,
ZSSS,Hongqiao,Shanghai,China,CHN,
LSZA,Lugano,Lugano,Switzerland,CHE,
DNCA,Margaret Ekpo,Calabar,Nigeria,NGA,
LBSF,Sofia,Sofia,Bulgaria,BGR,
LSGG,Geneva,Geneva,Switzerland,CHE,
LFRS,Nantes/Atlantique,Nantes/Atlantique,France,FRA,
UNBB,Mikhaylovka,Barnaul,Russia,RUS,
MYAM,Marsh Harbour Intl,Abaco I,Bahamas,BHS,
CYUL,Pierre Elliott Trudeau Intl,Montreal,Canada,CAN,
EDKB,Hangelar,Bonn,Germany,DEU,
CYQX,Gander Intl,Gander,Canada,CAN,
ESKN,Skavsta,Stockholm,Sweden,SWE,
CYQB,Jean Lesage Intl,Quebec,Canada,CAN,
KCRP,Corpus Christi Intl,Corpus Christi,USA,USA,
CYHZ,Stanfield Intl,Halifax,Canada,CAN,
UDYZ,Zvartnots,Yerevan,Armenia,ARM,
SPHI,Capt FAP J A Quinones Gonzalez INTL,Chiclayo,Peru,PER,
DAOB,Abdelhafid Boussouf Bou Chekif,Tiaret,Algeria,DZA,
LFQQ,Lesquin,Lille,France,FRA,
SACO,Ing Aer A L V Taravella,Cordoba,Argentina,ARG,
ZGSZ,Baoan,Shenzhen,China,CHN,
EBLG,Liege,Liege,Belgium,BEL,
FEFT,Berberati,Berberati,Central African Republic,CAF,
SLCB,Jorge Wilstermann Intl,Cochabamba,Bolivia,BOL,
HEAX,Alexandria Intl,Alexandria,Egypt,EGY,
UMOO,Mahiliou,Mahiliou,Belarus,BLR,
MHLM,Ramon Villeda Morales Intl,San Pedro Sula,Honduras,HND,
VCBI,Bandaranaike Intl Colombo,Katunayake,Sri Lanka,LKA,
HBBA,Bujumbura Intl,Bujumbura,Burundi,BDI,
EGHH,Bournemouth,Bournemouth,UK,GBR,
EBCI,Brussels South,Charleroi,Belgium,BEL,
LFMT,Montpellier/Mediterranee,Montpellier/Mediterranee,France,FRA,
ZGHA,Huanghua,Changsha,China,CHN,
ETNL,Rostock-Laage,Laage,Germany,DEU,
RCSS,Songshan,Taipei,Taiwan,TWN,
VTSB,Surat Thani,Surat Thani,Thailand,THA,
EBAW,Deurne,Antwerp,Belgium,BEL,
EDDL,Dusseldorf,Dusseldorf,Germany,DEU,
LSZR,Altenrhein,St Gallen,Switzerland,CHE,
KCHS,Charleston AFB/Intl,Charleston,USA,USA,
SBBR,Pres Juscelino Kubitschek Intl,Brasilia,Brazil,BRA,
ZGNN,Wuxu,Nanning,China,CHN,
EPWA,Chopin,Warsaw,Poland,POL,
LOIJ,St Johann,St Johann,Austria,AUT,
EDHL,Blankensee,Lubeck,Germany,DEU,
ENEV,Evenes,Harstad-Narvik,Norway,NOR,
GMFK,Moulay Ali Cherif Intl,Errachidia,Morocco,MAR,
VQPR,Paro,Paro,Bhutan,BTN,
MMHO,Gen Ignacio Pesqueira Garcia,Hermosillo,Mexico,MEX,
SBUG,Rubem Berta,Uruguaiana,Brazil,BRA,
TQPF,Clayton J. Lloyd Intl,The Valley,Anguilla,AIA,
PHOG,Kahului,Kahului,USA,USA,
LKMT,Mosnov,Ostrava,Czech,CZE,
MMBT,Bahias De Huatulco Intl,Bahias De Huatulco,Mexico,MEX,
LIRA,Ciampino,Rome,Italy,ITA,
EDDM,Munich,Munich,Germany,DEU,
UHWW,Knevichi,Vladivostok,Russia,RUS,
TNCM,Princess Juliana Intl,St Maarten I,Neth Antilles,ANT,
CYYT,St John's Intl,St John's,Canada,CAN,
OTBD,Doha Intl,Doha,Qatar,QAT,
HHAS,Asmara Intl,Asmara,Eritrea,ERI,
ESSD,Borlange,Borlange,Sweden,SWE,
VLVT,Wattay Intl,Vientiane,Laos,LAO,
LGSR,Santorini,Santorini,Greece,GRC,
EDDN,Nurnberg,Nurnberg,Germany,DEU,
LECO,A Coruna,A Coruna,Spain,ESP,
KSJC,Mineta San Jose Intl,San Jose,USA,USA,
SBCF,Tancredo Neves Intl,Belo Horizonte,Brazil,BRA,
UTSS,Samarkand,Samarkand,Uzbekistan,UZB,
SBPP,Ponta Pora Intl,Ponta Pora,Brazil,BRA,
TTCP,Robinson Intl,Scarborough,Tobago Is,XJT,
OOMS,Muscat Intl,Muscat,Oman,OMN,
SBFZ,Pinto Martins Intl,Fortaleza,Brazil,BRA,
EINN,Shannon,Shannon,Ireland,IRL,
SBCG,Campo Grande Intl,Campo Grande,Brazil,BRA,
EFHF,Malmi,Helsinki,Finland,FIN,
SBEG,Eduardo Gomes Intl,Manaus,Brazil,BRA,
SBBV,Atlas Brazil Cantanhede Intl,Boa Vista,Brazil,BRA,
LOWL,Linz,Linz,Austria,AUT,
SBRF,Guararapes - Gilberto Freyre,  Intl,Recife,Brazil,
URKK,Pashkovskiy,Krasnodar,Russia,RUS,
VGEG,Shah Amanat Intl,Chittagong,Bangladesh,BGD,
UMGG,Homiel,Homiel,Belarus,BLR,
DAAV,Ferhat Abbas,Jijel,Algeria,DZA,
MMGL,Miguel Hidalgo Y Costilla Intl,Guadalajara,Mexico,MEX,
EDDW,Bremen,Bremen,Germany,DEU,
LIMF,Caselle,Torino,Italy,ITA,
KLGA,LaGuardia,New York,USA,USA,
SBCR,Corumba Intl,Corumba,Brazil,BRA,
KFAT,Fresno Yosemite Intl,Fresno,USA,USA,
SAZN,Presidente Peron,Neuquen,Argentina,ARG,
TNCC,Hato Intl.,Willemstad,Neth Antilles,ANT,
HEOW,Shark El Oweinat,Shark El Oweinat,Egypt,EGY,
KSTL,Lambert-St Louis Intl,St Louis,USA,USA,
EKSB,Sonderborg,Sonderborg,Denmark,DNK,
UBBN,Nakhchivan,Nakhchivan,Azerbaijan,AZE,
LYTV,Tivat,Tivat,Montenegro,MNE,
EBKT,Kortrijk-Wevelgem,Kortrijk-Wevelgem,Belgium,BEL,
FZAA,N'Djili Intl,Kinshasa,Congo, Dr Of,
KMSN,Dane Co Regl-Truax,Madison,USA,USA,
WIDD,Hang Nadim,Batam,Indonesia,IDN,
YPXM,Christmas I,Christmas I,Australia,AUS,
TAPA,V C Bird Intl,St Johns,Antigua,ATG,
VOHS,Rajiv Gandhi Intl,Hyderabad,India,IND,
LGTS,Makedonia,Thessaloniki,Greece,GRC,
LGRX,Araxos,Araxos,Greece,GRC,
MYNN,Lynden Pindling Intl,Nassau,Bahamas,BHS,
WAJJ,Sentani,Jayapura,Indonesia,IDN,
LPFR,Faro,Faro,Portugal,PRT,
MYEH,North Eleuthera,Eleuthera,Bahamas,BHS,
SLLP,El Alto Intl,La Paz,Bolivia,BOL,
RJOO,Osaka Intl,Osaka,Japan,JPN,
TVSV,E T Joshua,Kingstown,St Vincent,VCT,
GMAD,Al Massira Intl,Agadir,Morocco,MAR,
LIML,Linate,Milan,Italy,ITA,
FBMN,Maun,Maun,Botswana,BWA,
LBWN,Varna,Varna,Bulgaria,BGR,
DABC,Mohamed Boudiaf,Constantine,Algeria,DZA,
FQMA,Maputo,Maputo,Mozambique,MOZ,
MYAT,Treasure Cay,Abaco I,Bahamas,BHS,
OBBI,Bahrain Intl,Bahrain,Bahrain,BHR,
ESGG,Landvetter,Goteborg,Sweden,SWE,
EBBR,Brussels National,Brussels,Belgium,BEL,
CYFC,Fredericton,Fredericton,Canada,CAN,
EDLP,Paderborn/Lippstadt,Paderborn/Lippstadt,Germany,DEU,
ZYTX,Taoxian,Shenyang,China,CHN,
EDQC,Brandensteinsebene,Coburg,Germany,DEU,
UIII,Irkutsk,Irkutsk,Russia,RUS,
MUHA,Jose Marti Intl,Havana,Cuba,CUB,
LBBG,Burgas,Burgas,Bulgaria,BGR,
EDFE,Frankfurt-Egelsbach,Frankfurt-Egelsbach,Germany,DEU,
TLPC,George F. Charles,Castries,St Lucia,LCA,
MWCB,Charles Kirkconnell Intl,Cayman Brac,Cayman Is,CYM,
EIDW,Dublin Intl,Dublin,Ireland,IRL,
DBBB,Cadjehoun Intl,Cotonou,Benin,BEN,
SABE,Jorge Newbery Aeroparque,Buenos Aires,Argentina,ARG,
MYEM,Governors Harbour,Eleuthera I,Bahamas,BHS,
URWW,Gumrak,Volgograd,Russia,RUS,
EYSA,Siauliai,Siauliai,Lithuania,LTU,
LIEE,Elmas,Cagliari,Italy,ITA,
SASA,Gen. Don Martin Miguel de Guemes,Salta,Argentina,ARG,
EFHK,Vantaa,Helsinki,Finland,FIN,
EDTL,Lahr,Lahr,Germany,DEU,
MDPC,Punta Cana Intl,Higuey,Dom Rep,DOM,
EDSB,Karlsruhe/Baden-Baden,Karlsruhe/Baden-Baden,Germany,DEU,
ZHHH,Tianhe,Wuhan,China,CHN,
SVMI,Simon Bolivar Intl,Maiquetia,Venezuela,VEN,
ESSA,Arlanda,Stockholm,Sweden,SWE,
FOON,M'Vengue,Franceville,Gabon,GAB,
ZSNJ,Lukou,Nanjing,China,CHN,
KRNO,Reno/Tahoe Intl,Reno,USA,USA,
BGCO,Nerlerit Inaat,Nerlerit Inaat,Greenland,GRL,
UMBB,Brest,Brest,Belarus,BLR,
SARE,Resistencia,Resistencia,Argentina,ARG,
KAMA,Rick Husband Amarillo Intl,Amarillo,USA,USA,
SARI,Mayor D Carlos Eduardo Krause,Cataratas Del Iguazu,Argentina,ARG,
HEAL,Al Alamain Intl,Al Alamain,Egypt,EGY,
LPPT,Lisbon,Lisbon,Portugal,PRT,
LGSK,Alexandros Papadiamandis,Skiathos,Greece,GRC,
EDML,Landshut,Landshut,Germany,DEU,
WAAA,Sultan Hasanuddin,Makassar,Indonesia,IDN,
BGSF,Kangerlussuaq,Kangerlussuaq,Greenland,GRL,
SKBG,Palonegro,Bucaramanga,Colombia,COL,
YPCC,Cocos (Keeling) I Intl,Cocos (Keeling) I,Australia,AUS,
MDSD,Las Americas Intl,Santo Domingo,Dom Rep,DOM,
EGGW,Luton,London,UK,GBR,
SLTJ,Capt Oriel Lea Plaza Intl,Tarija,Bolivia,BOL,
SCAR,Chacalluta Intl,Arica,Chile,CHL,
SAAR,Islas Malvinas,Rosario,Argentina,ARG,
GFLL,Lungi,Freetown,Sierra Leone,SLE,
ZLXY,Xianyang,Xi'An,China,CHN,
URMT,Shpakovskoye,Stavropol,Russia,RUS,
SBMQ,Alberto Alcolumbre,Macapa,Brazil,BRA,
DRRN,Diori Hamani,Niamey,Niger,NER,
MMGM,Gen Jose Ma Yanez Intl,Guaymas,Mexico,MEX,
SLVR,Viru Viru Intl,Santa Cruz,Bolivia,BOL,
KAVP,Wilkes-Barre-Scranton Intl,Wilkes-Barre,USA,USA,
CYVR,Vancouver Intl,Vancouver,Canada,CAN,
PTYA,Yap Intl,Yap I,Micronesia,FSM,
EDLE,Essen-Mulheim,Essen-Mulheim,Germany,DEU,
OMAL,Al Ain Intl,Al Ain,UAE,ARE,
KCOS,City Of Colorado Springs Mun,Colorado Springs,USA,USA,
FMCV,Ouani,Anjouan,Comoros,COM,
EKVD,Vamdrup,Kolding,Denmark,DNK,
KORD,-O'Hare Intl,Chicago,USA,USA,
LOAV,Voslau,Voslau,Austria,AUT,
