airportCode,airportName,cityName,countryName,countryCode,
DTTJ,Zarzis,Djerba,Tunisia,TUN,
EPWR,Strachowice,Wroclaw,Poland,POL,
LIMP,Parma,Parma,Italy,ITA,
LICT,Birgi,Trapani,Italy,ITA,
LDRI,Krk Island,Rijeka,Croatia,HRV,
LDPV,Crljenka,Vrsar,Croatia,HRV,
LDPL,Pula,Pula,Croatia,HRV,
KPHX,Phoenix Sky Harbor Intl,Phoenix,USA,USA,
SELT,Cotopaxi Intl Alternative,Latacunga,Ecuador,ECU,
RJCH,Hakodate,Hakodate,Japan,JPN,
OIZH,Zahedan Intl,Zahedan,Iran,IRN,
WIBB,Sultan Syarif Kasim II,Pekanbaru,Indonesia,IDN,
NCRG,Rarotonga Intl,Rarotonga I,Cook Is,COK,
LDOS,Klisa,Osijek,Croatia,HRV,
LOLW,Wels,Wels,Austria,AUT,
RKTU,Cheongju Intl,Cheongju,Korea,KOR,
LDLO,Losinj,Losinj Island,Croatia,HRV,
VRMG,Gan,Gan Island,Maldives,MDV,
LDDU,Cilipi,Dubrovnik,Croatia,HRV,
RJOB,Okayama,Okayama,Japan,JPN,
MHLC,Goloson Intl,La Ceiba,Honduras,HND,
VHHH,Hong Kong Intl,Hong Kong,Hong Kong,HKG,
KSAT,San Antonio Intl,San Antonio,USA,USA,
LIPY,Falconara,Ancona,Italy,ITA,
DIAP,Felix Houphouet Boigny Intl,Abidjan,Ivory Coast,CIV,
SYCJ,Cheddi Jagan Intl,Georgetown,Guyana,GUY,
SOCA,Felix Eboue,Cayenne,French Guiana,GUF,
VVDN,Da Nang Intl,Da Nang,Vietnam,VNM,
UTAT,Dashoguz,Dashoguz,Turkmenistan,TKM,
MGSJ,San Jose,Puerto San Jose,Guatemala,GTM,
KLAN,Capital Region Intl,Lansing,USA,USA,
MYGF,Grand Bahama Intl,Freeport,Bahamas,BHS,
LIRQ,Peretola,Florence,Italy,ITA,
GCHI,Hierro,Hierro,Canary Is,XJE,
LROD,Oradea,Oradea,Romania,ROU,
MGMM,Mundo Maya Intl,Flores,Guatemala,GTM,
BGUQ,Qaarsut,Uummannaq,Greenland,GRL,
BGSS,Sisimiut,Sisimiut,Greenland,GRL,
KGSO,Piedmont Triad Intl,Greensboro,USA,USA,
EIKY,Kerry,Kerry,Ireland,IRL,
LJPZ,Secovlje,Portoroz,Slovenia,SVN,
BGMQ,Maniitsoq,Maniitsoq,Greenland,GRL,
BGKK,Kulusuk,Kulusuk,Greenland,GRL,
VECC,Netaji Subhash Chandra Bose Intl,Kolkata,India,IND,
BGJN,Ilulissat,Ilulissat,Greenland,GRL,
WARR,Juanda,Surabaya,Indonesia,IDN,
